#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.96452  0.59345 -0.07870 -1.07567  0.000772  0.000559  0.003089     1.382
   1.98443  0.61327 -0.07680 -1.06778  0.000829  0.000599  0.002994     1.383
   2.00461  0.63336 -0.07479 -1.05954  0.000888  0.000642  0.002903     1.383
   2.02507  0.65371 -0.07268 -1.05136  0.000948  0.000685  0.002819     1.383
   2.04578  0.67430 -0.07051 -1.04368  0.001008  0.000729  0.002746     1.382
   2.06665  0.69505 -0.06830 -1.03688  0.001065  0.000772  0.002687     1.380
   2.08762  0.71591 -0.06609 -1.03101  0.001120  0.000813  0.002640     1.377
   2.10869  0.73686 -0.06390 -1.02648  0.001170  0.000852  0.002609     1.373
   2.12983  0.75789 -0.06171 -1.02263  0.001217  0.000889  0.002583     1.369
   2.15104  0.77899 -0.05953 -1.01912  0.001264  0.000926  0.002559     1.366
   2.17229  0.80013 -0.05735 -1.01595  0.001310  0.000962  0.002537     1.362
   2.19358  0.82130 -0.05518 -1.01302  0.001356  0.000997  0.002515     1.359
   2.21488  0.84250 -0.05302 -1.01043  0.001400  0.001032  0.002496     1.357
   2.23620  0.86371 -0.05086 -1.00783  0.001446  0.001067  0.002475     1.354
   2.25752  0.88491 -0.04870 -1.00531  0.001491  0.001102  0.002453     1.353
   2.27881  0.90610 -0.04655 -1.00284  0.001537  0.001137  0.002432     1.351
   2.30005  0.92723 -0.04441 -1.00034  0.001583  0.001173  0.002409     1.350
   2.32123  0.94830 -0.04228 -0.99799  0.001628  0.001207  0.002388     1.349
   2.34231  0.96928 -0.04017 -0.99583  0.001673  0.001241  0.002369     1.347
   2.36327  0.99014 -0.03810 -0.99395  0.001716  0.001274  0.002352     1.346
   2.38409  1.01085 -0.03607 -0.99301  0.001752  0.001303  0.002345     1.344
   2.40476  1.03142 -0.03409 -0.99357  0.001777  0.001325  0.002353     1.340
   2.42526  1.05184 -0.03213 -0.99480  0.001797  0.001344  0.002367     1.336
   2.44555  1.07203 -0.03016 -0.99598  0.001818  0.001363  0.002379     1.333
   2.46554  1.09191 -0.02816 -0.99645  0.001844  0.001385  0.002381     1.331
